MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass,VesselGroup,VesselTypeDetailed,Origin_country,Origin_port,Destination_country,Destination_port,Cargo_type,Total_weight_cargo,Flag
215854000,2023-12-31 23:58:51,38.91277,-75.15012,0.0,215.0,339.0,LORD BYRON 21,IMO9889954,9HA5332,80,1.0,277.0,48.0,14.7,80.0,A,Tanker,"Tanker, all ships of this type",UAE,Dubai,Russia,Vladivostok,Crude Oil,88943.45,Panama
215876000,2023-12-31 23:58:48,36.7678,-75.5492,0.1,331.0,214.0,SEBRING,IMO9434321,9HA5344,70,1.0,180.0,30.0,8.0,79.0,A,Cargo,"Cargo, all ships of this type",Japan,Yokohama,Netherlands,Rotterdam,General Cargo,21868.93,Marshall Islands
215879000,2023-12-31 23:57:42,31.98065,-80.44863,0.1,167.0,198.0,CMA CGM NORMA,IMO9299812,9HA5346,79,1.0,350.0,43.0,12.5,74.0,A,Tanker,"Cargo, no additional information",USA,Houston,Saudi Arabia,Dammam,Crude Oil,95889.44,Panama
215939000,2023-12-31 23:57:35,29.92249,-90.19473,0.0,122.9,248.0,DALMACIJA,IMO9528134,9HA5381,80,5.0,183.0,32.0,12.7,80.0,A,Tanker,"Tanker, all ships of this type",USA,New Orleans,Saudi Arabia,Dammam,Crude Oil,103415.86,Other
215940000,2023-12-31 23:59:14,30.50319,-80.37132,15.7,271.1,270.0,NEPTUNE KOPER,IMO9279812,9HA5382,70,0.0,197.0,30.0,8.4,70.0,A,Cargo,"Cargo, all ships of this type",Netherlands,Rotterdam,Japan,Nagoya,General Cargo,24945.19,Other
218007780,2023-12-31 23:47:37,18.44261,-64.7522,0.3,360.0,511.0,MOVELLI,IMO0000000,,37,,14.0,8.0,,,B,Pleasure Craft/Sailing,Pleasure Craft,USA,Houston,China,Qingdao,General Cargo,0.44,Panama
218018710,2023-12-31 11:36:45,18.4032,-64.57062,7.3,285.1,511.0,STAR OF THE SEAS II,IMO0000000,DJTU2,36,,12.0,6.0,,,B,Pleasure Craft/Sailing,Sailing,USA,Mobile,Singapore,Jurong,General Cargo,0.48,Singapore
218026610,2023-12-31 23:57:48,18.42569,-64.65992,0.1,360.0,511.0,LAURENCIA,IMO0000000,DIZX2,37,,13.0,8.0,,,B,Pleasure Craft/Sailing,Pleasure Craft,Singapore,Jurong,Netherlands,Amsterdam,General Cargo,0.27,Panama
218292000,2023-12-31 23:54:30,41.28727,-72.90868,0.0,8.0,8.0,SEAPIKE,IMO9423449,DEHR,80,5.0,199.0,32.0,11.0,89.0,A,Tanker,"Tanker, all ships of this type",Saudi Arabia,Yanbu,UAE,Jebel Ali,Crude Oil,90220.77,Marshall Islands
218427000,2023-12-31 23:57:19,36.71173,-75.58467,0.0,108.6,220.0,SHANGHAI EXPRESS,IMO9501368,DJBF2,71,1.0,366.0,48.0,12.9,71.0,A,Cargo,"Cargo, hazardous category A",Singapore,Singapore,Japan,Kobe,General Cargo,13524.0,Other
218643000,2023-12-31 23:59:53,27.61647,-82.66445,13.8,62.7,63.0,SANTA LORETTA,IMO9290567,DFDH2,70,0.0,336.0,45.0,15.0,71.0,A,Cargo,"Cargo, all ships of this type",USA,Corpus Christi,Singapore,Jurong,General Cargo,10509.13,Panama
218791000,2023-12-31 23:59:28,38.5509,-73.99438,9.9,191.8,190.0,ANTWERPEN EXPRESS,IMO9612997,DJCE2,70,0.0,366.0,48.0,15.5,79.0,A,Cargo,"Cargo, all ships of this type",Netherlands,Rotterdam,China,Shenzhen,General Cargo,16047.59,Liberia
218851000,2023-12-31 23:59:33,19.73356,-66.0995,18.3,67.5,67.0,GUAYAQUIL EXPRESS,IMO9777620,DJQC2,71,0.0,,,,71.0,A,Cargo,"Cargo, hazardous category A",Singapore,Singapore,USA,Seattle,General Cargo,13364.78,Singapore
219000034,2023-12-31 23:55:02,29.68217,-95.00913,0.0,219.1,170.0,JS INEOS INGENUITY,IMO9685437,OWHX2,80,5.0,180.0,,,80.0,A,Tanker,"Tanker, all ships of this type",UAE,Jebel Ali,Saudi Arabia,Jeddah,Crude Oil,154859.76,Marshall Islands
219022337,2023-12-31 23:57:46,25.72045,-80.22881,0.0,210.3,511.0,MARY,IMO0000000,XPE8585,36,,13.0,5.0,,,B,Pleasure Craft/Sailing,Sailing,Singapore,Jurong,USA,New Orleans,General Cargo,0.39,Other
219027000,2023-12-31 08:31:59,12.64247,143.26933,21.9,289.5,288.0,MAERSK EINDHOVEN,IMO9456771,OXFG2,71,0.0,366.0,48.0,12.4,71.0,A,Cargo,"Cargo, hazardous category A",Japan,Nagoya,Netherlands,Rotterdam,General Cargo,18590.49,Greece
219028422,2023-12-31 23:59:10,29.12681,-94.43788,12.2,135.1,135.0,TORM ADVENTURER,IMO9326914,OZMO2,89,0.0,182.0,32.0,12.2,80.0,A,Other,"Tanker, no additional information",Japan,Tokyo,Netherlands,Rotterdam,General Cargo,100.0,Liberia
219029122,2023-12-31 23:58:54,27.82472,-96.70138,12.6,54.8,57.0,NAVIGARE TERRA MATER,IMO9740330,OZFK2,80,0.0,333.0,60.0,13.7,80.0,A,Tanker,"Tanker, all ships of this type",UAE,Dubai,Russia,Novorossiysk,Crude Oil,92216.88,Panama
219029620,2023-12-31 13:14:37,26.6365,-91.77706,12.9,154.6,158.0,TORM HOUSTON,IMO9904883,OZPG2,80,0.0,250.0,44.0,13.5,80.0,A,Tanker,"Tanker, all ships of this type",Saudi Arabia,Yanbu,UAE,Jebel Ali,Crude Oil,110487.62,Liberia
219031008,2023-12-31 23:59:48,24.15009,-82.60412,11.6,270.2,273.0,SAMUS SWAN,IMO9401312,OZMX2,80,0.0,106.0,17.0,6.8,80.0,A,Tanker,"Tanker, all ships of this type",USA,New York,UAE,Dubai,Crude Oil,90760.84,Singapore
219031231,2023-12-31 23:54:26,41.28993,-72.90767,0.0,99.4,98.0,CHILEAN BULKER,IMO9855434,OUMJ2,70,5.0,180.0,30.0,9.3,70.0,A,Cargo,"Cargo, all ships of this type",Singapore,Jurong,China,Hong Kong,General Cargo,11736.74,China
219130000,2023-12-31 23:59:06,41.49944,-125.24299,17.9,179.5,181.0,RHONE MAERSK,IMO9457000,OXGX2,71,0.0,249.0,37.0,10.5,71.0,A,Cargo,"Cargo, hazardous category A",USA,Los Angeles,Singapore,Singapore,General Cargo,17933.24,Other
219256000,2023-12-31 23:57:26,29.74094,-95.16386,0.0,168.1,2.0,TORM MALAYSIA,IMO9443164,OYZF2,80,5.0,184.0,33.0,8.2,84.0,A,Tanker,"Tanker, all ships of this type",Saudi Arabia,Dammam,Russia,Novorossiysk,Crude Oil,105524.66,Liberia
219287000,2023-12-31 23:57:29,39.80612,-75.40432,0.0,286.4,63.0,HAPPY ALBATROSS,IMO9675066,OWZU2,80,1.0,146.0,22.0,9.3,84.0,A,Tanker,"Tanker, all ships of this type",Russia,St. Petersburg,Saudi Arabia,Yanbu,Crude Oil,97751.92,Other
219310000,2023-12-31 23:14:34,16.80615,-64.43572,9.0,339.8,340.0,NORD HIMALAYA,IMO9540807,OYTE2,89,0.0,182.0,32.0,11.6,89.0,A,Other,"Tanker, no additional information",Singapore,Singapore,USA,Corpus Christi,General Cargo,100.0,Panama
219412000,2023-12-31 23:57:01,29.74439,-95.09798,0.0,127.0,319.0,TORM AGNES,IMO9465992,OZHE2,89,5.0,185.0,32.0,8.0,89.0,A,Other,"Tanker, no additional information",Netherlands,Rotterdam,Singapore,Jurong,General Cargo,100.0,Panama
